Name,Dialog
Doofenshmirtz,"Hey it looks a lot bigger on the inside than it looks on the outside. Here, have some cozy gumdrop slippers. Hehehe. Now where was I? Oh yeah. I think I know why I'm having a hard time taking over the Tri-State Area It's because of dinner parties. That's right. Follow me, it-it goes somewhere. You see my brother Roger is a success, because of his amazing dinner parties, where he dazzles important guests, with his magnetic charm. But what if he were unable to charm anyone, because his fabulous dinner parties were over, before they began!? That's why I created this: the Bring-out-the-Dessert-inator! You see everyone knows that once the dessert comes out, the party's over. That's what...That's what's called a social cue. This rocket will go into a Rogercentric orbit around his house. At the wrong moment it will shoot a blast which will make Roger bring out the dessert. Ending his dinner party before it can begin. He'll lose his charming edge, and people will lose interest, in him. Bing-Bang-Boom. They'll stop voting for him, and that's when I'll slink in and takeo—You know, I-I know I'm grasping at straws here, ugh. I'll probably end up grasping at bendy-straws, and fall on my face, requiring months of rehab to learn how to monologue, all over again (Perry throws one of the gumdrop shoes at the Bring-out-the-Dessert-inator, hitting Doofenshmirtz with the ray) and then it's off to empowerment camp, where I'll have to fall backwards and hope that someone—Who wants dessert? (Doofenshmirtz goes off and grabs a few desserts) I made this lovely tiramisu. Heeey... It works! Oh you think you're very funny Perry the Platypus, blasting me with my own Bring-out-the-Dessert-inator. (Perry throws his other shoe at the -inator) Oh-ho-ho. I hope you left some room! I made a yummy double layered pumpkin cheesecake it has creamy—Oh! You got me again. Well you made me bring it to you, so you're going to eat it. (Doofenshmirtz shoves a dessert at Perry, who bites Doofenshmirtz's hand) Ow! (Perry's cage breaks, but the -inator zaps him) Haha. Now it's your turn to bring out the-- (Perry leaps toward Doofenshmirtz, and he smashes the tiramisu into his mouth in slow motion, sending them both flying back into the kitchen)"
Doofenshmirtz,"Aw, Perry the Platypus, are you feeling tired? (The door Perry was standing on wraps itself in a sheet, trapping Perry) Take a rest! I figured you'd be exhausted after breaking down all those doors. I even put a-a mint on your pillow, and everything, though, I guess it's probably just stuck to the back of your head now heh. Sorry about that. So, let's talk about pretzels. You see Perry the Platypus, when I was younger, (He flashes back) I did a summer internship at Master Drakkenblad's Pretzel Palace, He was the biggest pretzel wizard in Drusselstein. His disproportionately delicate hands, could turn any dough into a masterpiece. But even after months, my pretzel still lacked, polish. No matter how hard I tried, my work was never good enough. I-I don't know why he was such a stickler, I mean it's a knot. What difference does it make as long as you can't untie it? It's a knot! Anyway, I was declared unworthy. (Flashback ends) So now I despise pretzels. And any pretzel related entertainment. And now Danville is having its own Pretzel Festival! Can you even imagine how angry that makes me? Can you imagine? No? Angry enough to create the De-Twist-inator! Hahaha! We'll see how festive they feel after I turn all those stupid pretzels into boring straight tubes of baked dough, like-like breadsticks, which I also have a problem with, but I'm dealing with one neurosis at a time. And then, when I've straightened all their precious pretzels, I will waltz in, and take over the Tri-State Area. Y-Y-Yeah, I know it-it doesn't quite follow. I mean I even made a venn diagram. (He hold up a venn diagram, with to circles, not intersecting at all) See, the-the pretzels are here in this circle, and we're talking about taking over the Tri-State Area here, and... Yeah, no intersection, nothing. Hmm. But I'm gonna work it out you'll see."
Doofenshmirtz,"Oh, it's you, Perry the Platypus. (Perry presents him the coffee cup.) Wha- Oh, for me? (He takes it.) Oh, that's a nice gesture, thanks. (Perry walks inside.) A-and you even used the doorbell instead of just crashing through, like you usually do. Alright, really appreciate this, Perry the Platypus, 'cause you know, money's a little tight lately, I can't even rub two nickels together. (Cut to Perry standing on a white patch of floor, he continues offscreen) Although if I had two nickels, I don't think I would sit and rub them together. It's- (While saying this, Perry stares at the screen, then eventually sinks into the floor.) Oh, oh yeah, you're-you're trapped, Perry the Platypus, (Cut to him) it's quick hardening, non-dairy creamer. Like I said, I'm on a budget. I know what you're thinking, Perry the Platypus, how could this happen to such a (Close-up of a stern Perry, he continues offscreen) with-it guy like Heinz Doofenshmirtz? (Cut to him) Well, my ex-wife Charlene is out of the country on one of those...Extreme Eco-cultural Exploration Vacations. I -- I don't know what they do on those trips, but I imagine it's (crossfade to a still image of Charlene zip-lining with money flying out of her pocket, he continues offscreen) very expensive. (dissolve to her kayaking) Ugh, she's got some nerve! (cut to her hula dancing) That's -- that's my alimony she's throwing away! (cut back to he and Perry, he's showing him the images on his phone) And the worst is, she keeps texting me these pics! (puts it in his pocket, it beeps and vibrates) Oh, come on, really?! (walks offscreen) Anyway, the problem is I've already spent this month's alimony on my new -inator and -- (cut to him walking towards his new inator) and now I don't have enough money left to send Vanessa to the Grievance movie marathon she wants to see, and they're playing all the Grievance movies in order. They've got The Grievance, they've got Grievance 2: The Gripe, Grievance 3: Bone To Pick, and Grievance 4: The Revenge of the Italian Jug Band. You know, I don't think that last one is canon. Oh, what kind of father am I? Oh, oh, the shame is overwhelming, I can't even enjoy using my new Teleport-inator! (Music sting plays, ominous timpani follows) Nah, nah, I'm just not in the mood. Maybe tomorrow."
Doofenshmirtz,"Just a minute, I'm mopping. (opens the door) Oh, hello, Perry the Platypus, long time, no see. Say, that was some morning we had, huh? Too bad about Major Monogram, but the show must go on or a bird in the bush, eh-eh, I dunno. (Perry gets trapped in hardening foam.) Ha! You like that? It's a gift...foam-a me to you! Get it? As much as I like our little visits, you didn't need to come over. Actually, I'm not even trying to take over the Tri-State Area today. Y-You see, I have a problem. I am very fair-skinned. I don't know if you've noticed. I always have to use SPF 120 sunscreen even on a cloudy day or I'll burn. I mean, I-I'll actually burst into flames. And I got this whole crate on sale, and, and look, it's all 110 SPF! I thought I was getting 120! This is not gonna work. So rather than return this whole mess, which means I'd have to get in a car, drive down there, wait in line, then answer a bunch of questions about the delicacy of my epidermis, I'm just gonna move the Earth away from the sun just enough that the 110 will work. Simple. And to that end, I have created, tada!, my Shift-The-Earth's-Position-Further-Away-From-The-Sun-inator! Eh? I-I know. The-The name's a little cumbersome, but it's basically a tractor beam that uses the mass of Jupiter as an anchor to pull the Earth just slightly away from the sun to render my sunscreen effective. Eh. I guess my fortune cookie was right. I do tend to overcomplicate things. (picks up fortune) I wonder if that means these lottery numbers are--"
Doofenshmirtz,"Perry the Platypus? No way! What a coincidence! (to the person behind him) Excuse me, if you and your mullet would just take one step to the... Thank you. (to Perry) Oh, look! You brought your little dog, too! How cute! Oh, FYI, I don't think they allow dogs in here. So, y'know, watch out for that. Anyway, I bet you're wondering why I'm in City Hall, right? Well, I plan to go down into the secret City Hall vault and steal the— Oh, you-you knew that, right. (huffs) Right, right, of course. 'Cause that's probably why you're here. To stop me, right? (opening his box) What you probably don't know is how I will get into the vault without being noticed. (takes out an inator helmet from the box) Behold! My Blend-Into-The-Background-inator. I will be able to search the vault and steal the hidden deed, because, like they say, it's easier to find a hidden object when you're hidden as well. What? Th-Th-That's a thing. They say that. Anyway, (puts helmet on) I place the inator on my head, like so, I press this button and, I-I'm here (disappears) and now I'm blended in (becomes visible again) I'm here, (disappears) I'm gone! (reappears) I'm here, I'm go— Oh, my head! I-I-I hope there's no long-term damage from this, but—ugh! Anyway, I bet you think I forgot to trap you. Well, surprise! You're already trapped... by bureaucracy! You see, you don't have a number, Perry the Platypus, so by the time you and your little dog get into the archives, I will already be ruler (disappears) of the Tri-State Area!! (He laughs and exits)"
Dr. Doofenshmirtz,"...then the Ambassador's wife filed a complaint... Long story short, I am never welcome in Albania ever again. But the point is, I ended up alone in Italy, and it was lunch time, so I went to the Leaning Tower of Pizza, and you know what? They don't even make pizza there! I said, ""What do they mean?"" It's-It's the Leaning Tower of Pizza! It's got "" pizza"" actually in the name! But they were adamant. ""No pizza for me!"" L-L-Like I'm the idiot. And I was like, ""You're not so great. You're not so special. What? Just-Just 'cause you're leaning?"" Then it hit me. I'll just lean my own building, and then it will become a big tourist attraction, and I'll sell all this merchandise, I'll make millions. Which I will then use to finance phase two of my maniacal plan: Tilting every building in the world! And the Leaning Tower of Pizza will no long be special. Ooh, ooh, and then I'll straighten my own building, and it will still be a tourist attraction, 'cause you know, it'll be the only straight building. I just now thought of that. Just now. See that's how genius happens. It's a lot of leaning and straightening, you get the idea. I'm going to use this Tilt-inator, and do it all from space! (Echo: Space space cookie space) There! There it was again! You—you heard that? My next to last echo is broken. I'm going to have to have that checked."
Doofenshmirtz,"I got them very cheap from a wax museum that went bankrupt. Ha ha! Ha ha ha! I love it when dreams fail. As you know, I've been trying to take over the Tri-State Area for quite some time now, and I realized this Tri-State area's filled with things I detest, so many things, like— (stops at a blinking traffic arrow) like blinking traffic arrows. Stop blinking at me, telling me where to go. Point. Point. Point. Ooh, I hate you. Let's see—what else? Ear hair. Oh, yes, I've always hated you. Pelicans. Terrible creatures. What—what are you, a bird or a garbage disposal? Ugh, musical instruments that start with the letter ""B"". You get the idea. It's a long list. I've been working on it for a while. Anyway, I realized I should build something that would make all those awful things disappear. Behold, Perry the Platypus — Shrink-spheria! You like it? I was going to call it a Shrinkinator, but I've done that whole ""inator"" thing before. It's just been done to death. Bring him over here! I want to show him how it works. I enter the name of something I hate. P-e-l-i-c-a-n. Pelican. And Shrink-spheria homes in on its molecular structure and then turns all the particles into sparticles, thereby shrinking it into a teeny, tiny speck so small I never have to see it again. So good-bye to you, Perry the Platypus. Enjoy your presidential suite! (Laughs maniacally and closes the door)"
Doofenshmirtz,"(Speaking very rapidly) Gotcha. And you don't even know it yet. That's the beauty part. Watch this prolonged unnecessary series of events. (He launches a kangaroo, causing a ball to roll down a flight of stairs, through a tube) W-w-w-watch this. Here it goes, here it goes. (the ball causes a car to drive into a target, launching an anvil into a catcher's mitt, dropping a cage on Perry) Yeah, yeah, yeah… Yes! Ha! I win! I know it's a little over the top, but I was inspired by this board game I loved when I was a kid. Well actually, it was Roger's board game. But I would sneak a peek of it, through the keyhole of his door. You know it looked like I would love it. (Pants) But, I borderline backstory. (He takes a few short breathes) You see, I have so much evil energy from the soy venti latte extra-caf-and-a-half quadruple sugar, blood pressure bomberino. Love it! So I spent the whole morning building this complex, giant version of the game. Really I'm surprised you didn't see it flying in. Okay, beholding time! Behold my Luff-Flex-Dill-Pickle-inator! What does it do, you ask? (takes out a screen) Well it will launch all of my enemies into orbit, and keep them floating there so far into the atmosphere, that they won't bother me anymore. Cool, huh? Yeah I know the name's a little weird, but hey, I bought it off the internet, and my rights to it expire tomorrow, so I was kinda forced to use it today. I have so much energy from just that one cup of coffee, I just keep rambling and rambling-- (Perry hops out of a hole in his cage) Ooh. you know that trap was always the lamest part of the game. I always though-- (Perry attacks Doofenshmirtz)"
Doofenshmirtz,"Oh for crying out loud! (Takes the hot wings) Fine. Alright, what was that? 15 bucks? Okay, here's 10, 11, I got more in here. Hold on. 1, 2, 3, 4, there! $15! And don't forget your tip! (Presses a button on the steering wheel, activating a diving helmet trap. He chuckles) Pretty good, huh? (Camera zooms out) So, Perry the Platypus... (Bites off a hot wing) I bet you're wondering why I'm sitting down here at the bottom of a lake. Well, the answer is simple. Mmm-mmm! This is really good, man. You want some? (Takes a box with the red wings) Here, here. (Perry takes a hot wing) Take the blue cheese. (Perry takes the blue cheese and pours it on the red wing) Do you mind, I-- I prefer the ranch. Take the blue cheese. (Perry bite the red wing, and Doof holds up a napkin) Here's a napkin. (Perry takes the napkin) Anyway, the answer to why I'm here is simple. Zinc. Lake Nose has a ton of zinc in it, and this machine goes around and filters all the zinc from the water. (Camera zooms out, showing a zinc tank) See, see? Zinc! So I figured I'd go around collecting all the zinc, and then use that zinc in some evil way to rule the world! You know, with zinc. Just think of all the evil uses there are for zinc! (Pause. He looks around) I mean, seriously, can you think of some? Cause I-I got nothing. (Walks to a chart) I mean, look over here at all the good uses for zinc. Huh? All this good stuff, and over here? Nothing. All I got is ""Some evil ""Zinc Ray-Inator"" or something, and, and, and look here! I-I wrote ""Big laundry"". I-- I don't even remember what the reason was, so I guess I assumed I'd remember like it was some big genius Idea. Big laundry. (Deep voice) Big laundry. (Normal voice) I, it—It's crazy! I'm a crazy person."
Doofenshmirtz,"Ah, Perry the Platypus, won't you join me for a picnic? (Perry hesitates but then walks up, but not before sinking into his trap. Doofenshmirtz laughs.) Ah! Ah! Ow, my duodenum. Oh, oh, did you see your face?! You were like, ""Oh, maybe I shouldn't,"" but then, ""Well, I am hungry"" and then BOOM! down you went! Ha-ha! And are you hungry, Perry the Platypus? (Picks up the picnic basket) Well, too bad, it's not for you. It's for them. (Whip pan to reveal pigeons eating seeds. Cut back to Doofenshmirtz, who retrieves an inator from the basket) Behold! My Feed-the-Pigeons-inator! (Perry just gives Doofenshmirtz a look) Okay, Snobby the Snobapus, I know it doesn't sound like much, but it is technically evil. I'm breaking the law. See? (whip pan to a sign saying, ""DO NOT FEED THE PIGEONS!"") There? There. ""Do not feed the pigeons"". And I am going to feed the pigeons, therefore I am breaking the law. ""Do not feed the pigeons"". It's a-it's a metal sign with......big red letters on it and that-that makes it.......legally binding. (covers his eyes) Okay, here's the truth: I've got evil scientist's block, alright? (sighs) Seriously, I got—I got nothing. I—I was going to make a Good-Idea-inator, but I thought it would be counterproductive because it already had ""good"" in the title. So then I invented a Bad-Idea-inator, which...just...gave me this. And see where that got me. Ah, I'm telling ya, I'm dry, Perry the Platypus. Dry! And the summer just keeps going on and on and it feels like it's been goin' on for, like, four years! I'm asking you man to monotreme, can you help me? (Perry comes out of his hole and leads Doofenshmirtz) See? Even my trap design has become...lackluster."
